context\AuthContext.tsx | L49 | react-refresh/only-export-components | Fast refresh only works when a file only exports components. Use a new file to share constants or functions between components.
pages\branches\BranchesPage.tsx | L21 | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
pages\branches\BranchesPage.tsx | L247 | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
pages\departments\DepartmentFormPage.tsx | L305 | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
pages\departments\DepartmentFormPage.tsx | L319 | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
pages\departments\DepartmentsPage.tsx | L21 | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
pages\departments\DepartmentsPage.tsx | L247 | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
pages\entries\EntriesPage.tsx | L24 | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
pages\entries\EntriesPage.tsx | L254 | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
pages\entries\EntryFormPage.tsx | L18 | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
pages\entries\EntryFormPage.tsx | L442 | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
pages\entries\EntryFormPage.tsx | L484 | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
pages\entries\EntryFormPage.tsx | L484 | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
pages\reports\ReportFormPage.tsx | L913 | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
pages\reports\ReportFormPage.tsx | L924 | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
pages\reports\ReportsPage.tsx | L25 | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
pages\reports\ReportsPage.tsx | L271 | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
pages\roles\RolesPage.tsx | L18 | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
pages\roles\RolesPage.tsx | L233 | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
pages\users\UserFormPage.tsx | L366 | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
pages\users\UserFormPage.tsx | L395 | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
pages\users\UserFormPage.tsx | L407 | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
pages\users\UsersPage.tsx | L18 | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
pages\users\UsersPage.tsx | L276 | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
services\api.ts | L121 | @typescript-eslint/no-unused-vars | '_creds' is defined but never used.
services\api.ts | L139 | @typescript-eslint/no-unused-vars | '_id' is defined but never used.
services\api.ts | L159 | @typescript-eslint/no-unused-vars | '_id' is defined but never used.
services\api.ts | L179 | @typescript-eslint/no-unused-vars | '_id' is defined but never used.
services\api.ts | L200 | @typescript-eslint/no-unused-vars | '_id' is defined but never used.
services\api.ts | L222 | @typescript-eslint/no-unused-vars | '_id' is defined but never used.
services\api.ts | L242 | @typescript-eslint/no-unused-vars | '_id' is defined but never used.
