context\AuthContext.tsx|49|react-refresh/only-export-components|Fast refresh only works when a file only exports components. Use a new file to share constants or functions between components.
pages\departments\DepartmentFormPage.tsx|305|@typescript-eslint/no-explicit-any|Unexpected any. Specify a different type.
pages\departments\DepartmentFormPage.tsx|319|@typescript-eslint/no-explicit-any|Unexpected any. Specify a different type.
pages\entries\EntryFormPage.tsx|18|@typescript-eslint/no-explicit-any|Unexpected any. Specify a different type.
pages\entries\EntryFormPage.tsx|442|@typescript-eslint/no-explicit-any|Unexpected any. Specify a different type.
pages\entries\EntryFormPage.tsx|484|@typescript-eslint/no-explicit-any|Unexpected any. Specify a different type.
pages\entries\EntryFormPage.tsx|484|@typescript-eslint/no-explicit-any|Unexpected any. Specify a different type.
pages\reports\ReportFormPage.tsx|913|@typescript-eslint/no-explicit-any|Unexpected any. Specify a different type.
pages\reports\ReportFormPage.tsx|924|@typescript-eslint/no-explicit-any|Unexpected any. Specify a different type.
pages\users\UserFormPage.tsx|366|@typescript-eslint/no-explicit-any|Unexpected any. Specify a different type.
pages\users\UserFormPage.tsx|395|@typescript-eslint/no-explicit-any|Unexpected any. Specify a different type.
pages\users\UserFormPage.tsx|407|@typescript-eslint/no-explicit-any|Unexpected any. Specify a different type.
